platform,username,text,rating,timestamp,scraped_at,nhan
TikTok,(không xác định),NGUYÊN TỐ 118 - Oganesson : NGUYÊN TỐ PHỨC TẠP NHẤT THẾ GIỚI,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),90% cơ thể là 🎵🎵🎵,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),3đ hóa ngồi nghe như thật,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Video khoa học mà lồng nhạc remix. Nhạc to hơn cả lời. Méo hiểu là làm video khoa học hay nhạc để múa quạt,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),"t thắc mắc : nếu nó tồn tại được , thì nó làm gì nhỉ",,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Study with Mila✨,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Mới nghỉ hè lớp 6 nghe như thậc💔,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),2 giờ trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"lên lớp 7 chắc đau đầu lắm đây ,ko biết mấy anh chị học như nào mà nhiều người bảo dễ thế ,....!!!????",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),დ .•*””*• 𝑇𝑜𝑔𝑒 •*””*•.დ,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"Điều t thấy đáng ảo đá nhất không phải là Oganesson tồn tại .Mà là việc con ng nhìn vào tự nhiên, suy luận bằng toán học, chế tạo máy gia tốc hạt khổng lồ, rồi tạo ra được một nguyên tử chưa từng tồn tại trên Trái Đất trong tự nhiên, chứng minh nó tồn tại, đo được tính chất của nó và cuối cùng đặt nó vào bảng tuần hoàn:))) rảnh rỗi vl:/",,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Nam Khánh =33,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Học sinh giỏi hoá cấp tỉnh ngồi xem,,,2026-06-26 22:15:56,tich_cuc
TikTok,(không xác định),12 giờ trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),1 ngày trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),"️"" Deep Unending Yearning.”",,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),14 giờ trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),ngọc ngân ✨️🌃,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),nghe cuốn vãi ý,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),7 giờ trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),ko hiểu j ngồi nghe như tht,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),6 giờ trước,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Thanh Lam Nguyen Van,,,2026-06-26 22:15:56,tieu_cuc
TikTok,(không xác định),Thái rau muống xào dứa,,,2026-06-26 22:15:56,trung_tinh
TikTok,(không xác định),Nhạc nhỏ quá 🥰,,,2026-06-26 22:15:56,trung_tinh
