platform,username,text,rating,timestamp,scraped_at,nhan,noi_dung_da_loc
TikTok,(không xác định),NGUYÊN TỐ 118 - Oganesson : NGUYÊN TỐ PHỨC TẠP NHẤT THẾ GIỚI,,,2026-06-26 22:15:56,tieu_cuc,nguyên_tố 118 oganesson nguyên_tố phức_tạp thế_giới
TikTok,(không xác định),90% cơ thể là 🎵🎵🎵,,,2026-06-26 22:15:56,trung_tinh,90 cơ_thể
TikTok,(không xác định),3đ hóa ngồi nghe như thật,,,2026-06-26 22:15:56,trung_tinh,3 đ hóa ngồi nghe thật
TikTok,(không xác định),Video khoa học mà lồng nhạc remix. Nhạc to hơn cả lời. Méo hiểu là làm video khoa học hay nhạc để múa quạt,,,2026-06-26 22:15:56,tieu_cuc,video khoa_học lồng_nhạc remix_nhạc to lời méo hiểu video khoa_học nhạc múa quạt
TikTok,(không xác định),"t thắc mắc : nếu nó tồn tại được , thì nó làm gì nhỉ",,,2026-06-26 22:15:56,trung_tinh,thắc_mắc tồn_tại được
TikTok,(không xác định),Study with Mila✨,,,2026-06-26 22:15:56,trung_tinh,study with mila
TikTok,(không xác định),Mới nghỉ hè lớp 6 nghe như thậc💔,,,2026-06-26 22:15:56,trung_tinh,nghỉ_hè lớp 6 nghe thật
TikTok,(không xác định),2 giờ trước,,,2026-06-26 22:15:56,trung_tinh,2 giờ
TikTok,(không xác định),"lên lớp 7 chắc đau đầu lắm đây ,ko biết mấy anh chị học như nào mà nhiều người bảo dễ thế ,....!!!????",,,2026-06-26 22:15:56,tieu_cuc,lớp 7 đau_đầu lắm không biết_mấy anh_chị học bảo dễ
TikTok,(không xác định),დ .•*””*• 𝑇𝑜𝑔𝑒 •*””*•.დ,,,2026-06-26 22:15:56,trung_tinh,დ დ
TikTok,(không xác định),"Điều t thấy đáng ảo đá nhất không phải là Oganesson tồn tại .Mà là việc con ng nhìn vào tự nhiên, suy luận bằng toán học, chế tạo máy gia tốc hạt khổng lồ, rồi tạo ra được một nguyên tử chưa từng tồn tại trên Trái Đất trong tự nhiên, chứng minh nó tồn tại, đo được tính chất của nó và cuối cùng đặt nó vào bảng tuần hoàn:))) rảnh rỗi vl:/",,,2026-06-26 22:15:56,tieu_cuc,đáng ảo đá không oganesson tồn_tại ng nhìn tự_nhiên suy_luận toán_học chế_tạo máy_gia_tốc hạt khổng_lồ tạo được nguyên_tử chưa tồn_tại trái_đất tự_nhiên chứng_minh tồn_tại đo được tính_chất cuối_cùng đặt bảng tuần hoàn_rảnh rỗi vãi
TikTok,(không xác định),Nam Khánh =33,,,2026-06-26 22:15:56,trung_tinh,nam khánh 33
TikTok,(không xác định),Học sinh giỏi hoá cấp tỉnh ngồi xem,,,2026-06-26 22:15:56,tich_cuc,học_sinh giỏi hóa cấp tỉnh ngồi xem
TikTok,(không xác định),12 giờ trước,,,2026-06-26 22:15:56,trung_tinh,12 giờ
TikTok,(không xác định),1 ngày trước,,,2026-06-26 22:15:56,trung_tinh,1
TikTok,(không xác định),"️"" Deep Unending Yearning.”",,,2026-06-26 22:15:56,trung_tinh,deep unending yearning
TikTok,(không xác định),14 giờ trước,,,2026-06-26 22:15:56,trung_tinh,14 giờ
TikTok,(không xác định),ngọc ngân ✨️🌃,,,2026-06-26 22:15:56,trung_tinh,ngọc ngân
TikTok,(không xác định),nghe cuốn vãi ý,,,2026-06-26 22:15:56,tieu_cuc,nghe vãi_ý
TikTok,(không xác định),7 giờ trước,,,2026-06-26 22:15:56,trung_tinh,7 giờ
TikTok,(không xác định),ko hiểu j ngồi nghe như tht,,,2026-06-26 22:15:56,trung_tinh,không hiểu ngồi nghe thật
TikTok,(không xác định),6 giờ trước,,,2026-06-26 22:15:56,trung_tinh,6 giờ
TikTok,(không xác định),Thanh Lam Nguyen Van,,,2026-06-26 22:15:56,tieu_cuc,thanh_lam nguyen van
TikTok,(không xác định),Thái rau muống xào dứa,,,2026-06-26 22:15:56,trung_tinh,thái rau_muống xào dứa
TikTok,(không xác định),Nhạc nhỏ quá 🥰,,,2026-06-26 22:15:56,trung_tinh,nhạc nhỏ
TikTok,(không xác định),ko hc hoá vẫn ngồi nghe,,,2026-06-26 22:15:56,trung_tinh,không học hóa ngồi nghe
TikTok,(không xác định),cái lốp nhỏ...,,,2026-06-26 22:15:56,trung_tinh,lốp nhỏ
TikTok,(không xác định),nghỉ hè xong sẽ học😑,,,2026-06-26 22:15:56,trung_tinh,nghỉ hè xong học
TikTok,(không xác định),r sao tìm ra ảo vậy 😅,,,2026-06-26 22:15:56,trung_tinh,tìm ảo
TikTok,(không xác định),"Trl câu hỏi"" quy tắc hoá trị lgi""🥰🥰",,,2026-06-26 22:15:56,trung_tinh,trả_lời câu quy_tắc hóa_trị lgi
TikTok,(không xác định),5đ hoá đang ngồi nghe chăm chú 🥰,,,2026-06-26 22:15:56,tich_cuc,5 đ hóa ngồi nghe chăm_chú
TikTok,(không xác định),nóng ôm máy lạnh,,,2026-06-26 22:15:56,trung_tinh,nóng ôm máy_lạnh
TikTok,(không xác định),t chỉ để ý nguyên tố của đồng thôi 😂😂😂😂,,,2026-06-26 22:15:56,tieu_cuc,để_ý nguyên_tố đồng
TikTok,(không xác định),nhìn j mà nhìn?,,,2026-06-26 22:15:56,trung_tinh,nhìn nhìn
TikTok,(không xác định),"4,5 hoá ngồi xem cho có",,,2026-06-26 22:15:56,trung_tinh,4 5 hóa ngồi xem
TikTok,(không xác định),lần sau đăng nhạc du sơn luyến ấy,,,2026-06-26 22:15:56,trung_tinh,đăng_nhạc du_sơn luyến
TikTok,(không xác định),t ko hiểu tại sao mấy ông đó tìm ra đc ntố Oganesson???,,,2026-06-26 22:15:56,trung_tinh,không hiểu tại_sao mấy tìm được nguyên_tố oganesson
TikTok,(không xác định),thế có thế nén 119p ko ? cta sẽ có 1 ngto mới?,,,2026-06-26 22:15:56,trung_tinh,nén 119 p không chúng_ta 1 nguyên_tố
TikTok,(không xác định),thế nào t lại thích học hoá😁😁,,,2026-06-26 22:15:56,tich_cuc,thế_nào thích học hóa
TikTok,(không xác định),Cho hỏi chút ạ. KHTN học xong sau này nên chọn làm ngành gì ạ?,,,2026-06-26 22:15:56,trung_tinh,chút khtn học xong sau_này chọn ngành
TikTok,(không xác định),nguyên tố 118 là tương lai của thế giới khi có thế áp dụng phản trọng lực cho xe phương tiện và thậm chí chế tạo ra đĩa bay,,,2026-06-26 22:15:56,tieu_cuc,nguyên_tố 118 tương_lai thế_giới áp_dụng phản_trọng_lực xe phương_tiện thậm_chí chế_tạo đĩa bay
TikTok,(không xác định),T ngu hóa nên T ko hiểu gì cả,,,2026-06-26 22:15:56,tieu_cuc,ngu hóa không hiểu
TikTok,(không xác định),"tui thắc mắc: sao họ khong tăng số neutron của cả calcium và californium trước khi gia tốc để làm giảm sự đẩy nhau của proton (vì neutron không mang điện), tăng sự ổn định và tồn tại lâu hơn của nguyên tử 118 tạo thành ạ?",,,2026-06-26 22:15:56,tieu_cuc,thắc_mắc khong tăng neutron calcium californium gia_tốc giảm đẩy proton neutron không mang điện tăng ổn_định tồn_tại lâu nguyên_tử 118 tạo thành
TikTok,(không xác định),cá chép hóa rồng ˇ,,,2026-06-26 22:15:56,trung_tinh,cá chép hóa rồng ˇ
TikTok,(không xác định),ai đó giúp t học cách dùng bảng tuần hoàn vs (•_•),,,2026-06-26 22:15:56,tieu_cuc,giúp học cách dùng bảng tuần_hoàn _
